run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,impact_valid
2811,387.483,-921.297,985.107,0.738368,1.01736,1.00008,1.03052,0.990713,0.319998,-0.00651234,1
2812,777.664,2106.86,-1832.74,1.32364,1.03906,0.98901,0.974176,1.05842,-0.106949,-0.00987048,1
2813,121757,39128.1,-15127.5,0.793878,1.02812,1.00016,1.0416,0.636232,0.0209296,0.00010294,1
2814,2657.19,-3959.71,6549.78,1.01087,1.0543,0.997436,1.03908,1.46139,-0.0660958,0.00443848,1
2815,125296,57641.1,-24287.1,1.03375,1.02684,0.987614,0.967744,0.948379,-0.00478497,-0.000624334,1
2816,263.138,-634.227,663.597,0.985234,0.990695,0.993411,1.02265,0.835711,0.375629,-0.0080622,1
2817,292.127,764.264,-726.594,0.733168,1.01474,0.997295,1.00578,0.850718,0.193399,0.0140329,1
2818,495.763,-1183.57,1291.36,0.871897,0.983939,0.999451,0.95405,1.00818,-0.115307,0.0134115,1
2819,775.51,-1762.36,2022.89,0.752648,0.954229,0.998856,1.00362,0.956182,0.154173,-0.00623451,1
2820,1122.79,-2362.61,2882.34,1.22264,1.00841,1.00046,0.988231,0.941403,0.0486672,-0.0142688,1
2821,434.955,1132.9,-1049.81,1.24172,0.997714,0.990759,1.05303,0.837116,-0.197791,-0.00924757,1
2822,17923.7,85585.6,-26139.4,0.977552,0.976538,0.992036,0.988969,0.842534,-0.00414157,-0.0105748,1
2823,709.829,-1658.75,1877.83,0.821052,1.05622,1.01495,0.974305,1.11502,-0.0884257,0.0128063,1
2824,240.458,627.212,-602.111,1.29311,0.987687,1.02191,1.02775,0.863462,0.317189,0.00972934,1
2825,77992.9,-61405,140845,0.927473,1.01831,1.00776,0.939921,0.656539,-0.0110893,0.00196209,1
2826,4107.43,-5297.51,9798.43,0.964632,1.01003,0.996084,0.994176,1.11221,0.0538019,-0.0032838,1
2827,1732.78,5561.34,-3961.49,0.849212,0.997797,0.989498,1.00161,0.958909,0.0869056,0.00503517,1
2828,454.587,-1075.61,1163.97,0.870952,1.01508,1.00071,0.945034,0.895203,0.261078,-0.00676576,1
2829,2757.46,-4838.89,7587.71,1.14235,0.993315,0.982908,1.01204,1.32635,0.0278546,-0.00977155,1
2830,3731.69,10210.7,-5838.33,1.2589,0.978614,1.02566,0.973553,1.02847,-0.0866606,-0.00208187,1
2831,3577.95,8899.23,-4846.96,1.10682,1.0005,1.01291,1.02801,0.891032,-0.114365,-0.00169769,1
