run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
634,26.7727,54.7159,12.8363,0.942925,1.0034,0.99947,1.00978,1.08608,-0.000845064,-0.000625577,91.8514,1.02777,2.44034,0.759268,1
635,54967.8,nan,nan,1.45263,1.04054,0.986741,1.01099,1.04807,0.180016,1.60979e-05,126.303,1.31453,2.84142,0.871289,0
636,52320.1,nan,nan,0.836157,0.983418,1.00676,0.93637,0.99576,-0.0588985,0.000620194,5.96937,0.840764,0.659508,0.891748,0
637,48187.4,nan,nan,0.627486,0.986536,0.996062,0.995706,1.04132,0.104609,0.000936086,187.422,1.5211,3.91638,0.889822,0
638,25.3018,39.0828,-22.2431,0.989104,1.00028,1.00452,0.990889,1.2855,0.0117051,-0.00210077,174.703,1.56538,4.22853,1.06211,1
639,35536.2,nan,nan,1.01853,0.994359,0.991027,1.00053,0.859597,0.226276,0.00230826,773.28,3.10543,14.4213,0.824698,0
640,43378.1,nan,nan,0.760912,0.973087,0.998935,0.977178,0.596036,-0.0696017,0.000274189,40.931,1.05772,1.30927,0.996194,0
641,48662.4,nan,nan,0.848751,0.99879,1.01005,1.03532,0.913978,0.200433,-0.000214101,185.994,1.53515,3.87261,0.913627,0
642,45925.6,nan,nan,0.853755,0.993578,1.0053,0.944004,0.705926,-0.077793,-0.000634858,89.0124,1.18461,2.13109,0.943458,0
643,21751.5,nan,nan,0.982083,0.964087,0.988831,1.00943,1.06399,-0.360183,-0.000840549,904.275,3.66822,16.7632,1.05796,0
644,48375.2,nan,nan,0.887676,0.978297,1.02439,1.02739,0.918189,0.0966453,-0.000305495,54.2458,1.0089,1.57753,0.858307,0
645,29601,nan,nan,1.04198,1.01578,1.00934,1.02273,0.921801,-0.249475,-0.00193032,653.964,2.87168,12.2749,0.997308,0
646,13.012,27.2839,9.65427,0.725436,1.0598,1.01677,0.952045,0.96815,-0.215488,-0.00129962,528.536,2.66346,12.2892,0.964793,1
647,51394.4,nan,nan,0.913981,1.01177,0.993928,0.96231,0.984131,0.000165352,-5.74771e-05,28.8476,1.08609,1.13111,1.07362,0
648,49104.5,nan,nan,1.13439,1.01424,0.99675,1.05962,0.908698,-0.00295458,-0.000393412,22.9002,1.0252,1.01123,1.02894,0
649,49238.6,nan,nan,1.02809,0.989163,0.994383,0.994473,0.923861,-0.0730196,0.00114621,8.60688,0.8739,0.724399,0.913991,0
650,45893.8,nan,nan,1.11799,1.00008,1.01028,0.960935,1.22187,-0.197301,0.00017788,161.925,1.39239,3.47746,0.860897,0
651,25273.5,nan,nan,1.30248,1.00772,0.993355,0.977383,1.1026,-0.255015,-0.00131416,844.709,3.37514,15.5988,0.938556,0
652,40792,nan,nan,0.770953,1.00622,1.00726,0.960875,1.1867,0.241179,0.00123694,581.643,2.73789,10.9889,0.837221,0
653,34970.2,nan,nan,0.314858,0.998724,0.997127,0.982991,0.875405,0.438734,-0.000609062,914.117,3.54199,16.9646,0.866404,0
654,38298.1,nan,nan,1.14084,0.992738,1.00788,1.02814,1.30761,-0.220667,-0.00059046,339.521,2.03018,6.64026,1.02404,0
655,22.0882,33.1773,2.69699,0.944443,0.974571,1.00371,1.01092,1.07274,-0.0687629,-0.000558425,226.452,1.21859,4.98887,0.507222,1
656,51024.1,nan,nan,0.579603,1.01707,1.00047,0.995645,1.00178,-0.0781099,0.00105896,6.33721,0.853077,0.673984,0.90243,0
657,55097.8,nan,nan,0.828091,1.03479,0.987107,1.05131,0.707701,0.285207,-0.0013118,140.564,1.37821,3.13818,0.865311,0
658,47305.1,nan,nan,1.02017,0.95788,0.988605,0.977905,0.775351,-0.10434,0.000414478,44.3837,1.06204,1.38404,0.978095,0
659,51361.5,nan,nan,0.878948,0.989541,0.980032,0.982373,0.988838,-0.0371007,0.000940479,4.93748,0.878814,0.679824,0.933879,0
660,50186.2,nan,nan,0.979769,0.996443,0.998248,0.95261,0.933816,0.100838,0.000484531,122.385,1.27736,2.73451,0.881286,0
661,34466,nan,nan,1.13467,0.98595,1.00848,0.98959,0.669329,0.415353,-0.000428582,918.246,3.52275,16.9488,0.846491,0
662,48583.3,nan,nan,1.2615,1.00617,0.994248,1.00541,1.01288,0.0800941,0.000247155,159.137,1.45695,3.42552,0.935606,0
663,47874.5,nan,nan,0.742186,0.977037,1.00009,1.04848,1.13343,0.163975,-4.61181e-05,130.963,1.38763,2.94891,0.977055,0
664,50701.2,nan,nan,1.01237,0.989577,0.991046,0.994023,1.21725,0.0552369,-0.000464985,18.5352,0.924895,0.947013,0.918836,0
665,44787.8,nan,nan,0.990334,0.989282,0.992372,0.991865,0.940919,-0.220424,0.00123974,187.677,1.52437,3.88587,0.934239,0
666,50750.5,nan,nan,0.854401,1.00298,1.00334,0.964197,1.00105,0.137439,-0.000257288,98.9459,1.12962,2.3389,0.798047,0
667,49690.6,nan,nan,0.971555,1.01496,1.01132,0.989189,0.998033,-0.020447,-0.000100418,21.9342,0.919698,0.943018,0.913405,0
668,49591.6,nan,nan,0.944919,0.989719,0.992215,1.00851,0.439133,0.1485,-0.000624611,91.2404,1.21536,2.21393,0.946128,0
669,49498.9,nan,nan,1.09845,0.963994,1.00484,0.971558,1.28851,-0.111397,0.000737716,7.08084,0.876473,0.690269,0.926743,0
670,49531.4,nan,nan,1.36968,0.95982,0.99054,0.96639,0.964904,0.243919,-0.000988254,160.93,1.60237,3.47315,1.09776,0
671,41536.2,nan,nan,0.948266,1.02059,0.993255,1.00794,0.748165,-0.235206,-2.72234e-05,368.289,2.1595,7.154,0.985945,0
672,45623.9,nan,nan,1.12973,0.98837,1.01344,1.01264,1.06798,-0.198637,0.000547749,112.818,1.20534,2.63139,0.842769,0
673,39583.3,nan,nan,0.826696,0.997301,1.00017,0.996885,0.784976,0.350198,0.0001045,657.647,2.94456,12.3175,0.841368,0
674,16.5223,36.4482,12.3532,1.14637,1.02886,0.997296,0.970591,1.07749,-0.110197,0.000371474,231.26,1.22555,5.50714,0.431027,1
675,49565.5,nan,nan,0.779907,1.02832,0.990857,1.0663,0.983027,-0.160923,0.000179759,99.2282,1.27487,2.37305,0.977041,0
676,45389.2,nan,nan,1.24712,1.00033,0.985386,0.991036,0.806641,0.393562,-0.00185435,490.688,2.56981,9.41993,0.842833,0
677,52391.2,nan,nan,1.36335,1.02557,1.0042,0.982165,0.980532,0.155441,-0.000880255,100.395,1.25667,2.36948,0.944396,0
678,47330.5,nan,nan,1.17507,1.02291,1.01053,0.992344,1.04767,-0.186389,-0.000195906,165.091,1.33333,3.51081,0.764966,0
679,46603.7,nan,nan,0.838174,0.997777,1.00591,0.96319,0.787794,-0.0839297,-0.000640443,92.4556,1.00111,2.2162,0.688039,0
680,49373.7,nan,nan,0.925126,0.970583,1.0043,0.992297,1.13476,-0.01795,0.000323061,15.1102,0.791671,0.856476,0.774222,0
681,47993.7,nan,nan,1.42738,0.98259,0.981704,1.00766,1.05195,-0.072527,0.000275451,40.2798,1.14695,1.2903,1.10926,0
682,49825.1,nan,nan,0.617736,1.03186,1.00756,1.05193,1.31777,-0.174391,0.00127812,103.986,1.16588,2.42425,0.823833,0
683,51465.6,nan,nan,1.15343,0.982891,0.983935,0.981773,0.611915,-0.0316457,0.000712597,5.14347,0.797329,0.662735,0.834643,0
684,45282.1,nan,nan,0.986204,1.0098,0.992369,1.00129,0.846064,-0.111753,-0.000522937,136.839,1.2846,3.03734,0.84272,0
685,45631,nan,nan,0.988869,1.00666,0.991491,1.0143,1.0548,-0.110509,-0.000541456,132.087,1.37846,2.91526,0.988226,0
686,52199.3,nan,nan,1.48668,1.00285,1.00051,1.06383,0.718452,0.124779,-0.00122279,21.9396,0.836569,0.992669,0.792785,0
687,44394.7,nan,nan,1.34473,1.00545,0.992443,1.02116,1.23094,-0.0202123,-0.00261878,154.746,1.42582,3.38102,0.940873,0
688,34273.9,nan,nan,1.01307,0.985488,0.99149,0.985782,0.88047,-0.314059,0.00113681,514.262,2.39797,9.70767,0.940897,0
689,50635.7,nan,nan,1.05009,0.99995,0.996179,1.02424,1.01493,-0.0627658,-7.66904e-05,7.94867,0.816739,0.723432,0.84231,0
690,46719.2,nan,nan,1.12689,0.982012,1.01294,1.06078,0.732738,0.116768,0.00104226,178.178,1.48802,3.81397,0.888226,0
691,51247.4,nan,nan,1.02888,0.998724,1.01484,1.02406,1.06325,0.0608084,-0.000105795,25.9624,0.890653,1.04169,0.848895,0
692,47002.7,nan,nan,1.02217,1.00184,0.991473,0.951858,1.10749,0.230065,6.83585e-05,488.041,2.63818,9.27415,0.922528,0
693,48063.8,nan,nan,0.929955,0.983876,0.992037,1.02369,0.896866,-0.138971,-0.000529628,85.3642,1.19492,2.05802,0.966438,0
694,48651.8,nan,nan,1.10947,0.981635,0.99797,0.986433,0.836602,-0.219249,0.000461113,139.467,1.38051,3.0984,0.920869,0
