run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
905,79824.1,-58258.9,21344.9,0.809671,0.998815,0.993554,1.02306,1.10236,-0.00650139,-0.000612028,8.42366,0.807659,0.62972,0.928357,1
906,86958.4,51445.1,-20771.8,0.995319,0.986245,0.988621,1.0176,1.21491,0.103506,-0.000313556,23.3946,0.858355,0.90156,0.826333,1
907,71203.4,-21714.5,7574.53,0.747062,1.01512,0.996622,1.02932,0.883987,0.127629,-0.00200609,4.01003,0.76391,0.555033,0.889187,1
908,76157.9,-322.831,-6624.9,1.1569,0.936537,1.01329,1.02896,0.826606,0.0363876,0.000121803,6.16327,0.773726,0.599737,0.886605,1
909,93834.7,-22845.9,-3686.55,0.973763,1.01846,1.00774,0.985214,1.30631,0.0219562,-0.000321488,7.34857,0.776685,0.627193,0.896603,1
910,89154.5,-20011.9,7861.87,1.2168,1.00125,1.01908,1.00201,1.0087,-0.0739582,0.00168446,3.68962,0.812405,0.546869,1.01497,1
911,84565.5,59965.2,-12279.2,0.784301,1.0025,1.00453,0.99828,0.987811,0.0284303,0.00256913,32.1949,1.02003,1.03725,1.00763,1
912,77541.3,-121844,20178.7,0.528939,1.00057,1.00018,1.04328,0.822066,-0.0999305,-0.00151651,32.2169,1.08541,1.05012,1.10877,1
913,94273.1,-43088.8,-10279.1,0.717384,0.991415,1.00838,1.02672,1.06726,0.0343941,-0.000853256,3.55674,0.760629,0.54522,0.934521,1
914,58531.7,-151798,30207.1,0.979305,0.995488,0.998325,0.99412,0.938911,-0.237411,-1.09832e-05,104.952,1.41435,2.35243,0.955032,1
915,86742.5,61651.7,-12338,0.861959,0.990946,1.00504,0.961538,0.752458,0.0774869,0.000658899,23.1488,1.01425,0.884515,1.11033,1
916,69281,118061,-29856.3,1.04767,0.996064,1.01014,1.00373,1.53684,0.207129,0.00136196,110.548,1.54912,2.47541,1.00533,1
917,96380.2,34160.4,-12093.7,0.632674,1.03764,0.996211,1.00988,0.610462,0.0223132,0.000898634,13.6167,0.854616,0.733216,0.954279,1
918,52012.5,-29345.6,9576.08,0.843134,0.98377,1.00598,0.989432,1.03406,-0.0625942,0.00108572,3.74908,0.840014,0.547216,0.963335,1
919,82150.6,-127366,22937.5,0.918295,1.01341,1.00374,1.02601,1.20803,-0.0950514,-0.0001198,21.985,0.89754,0.870576,0.916511,1
920,81993,-124018,49357.7,0.994973,1.01955,1.00811,1.01027,1.31541,-0.211861,1.0321e-05,42.4228,1.10715,1.23354,1.01843,1
921,74878.3,125842,-15785.3,1.19832,0.989765,0.993286,0.982804,1.09757,0.230963,0.000512353,84.2367,1.34846,1.99052,0.938943,1
922,80098.7,-44234,4470.25,1.13178,0.951626,1.01023,0.978056,1.01201,0.0601035,-0.00129499,5.43503,0.821129,0.586427,0.981746,1
923,106774,59312.9,-10851.4,1.2383,1.04216,1.00406,0.955015,1.11138,0.126531,0.000261284,18.6686,1.08499,0.858227,1.29204,1
924,74145.3,-133368,16088.4,1.11096,1.0037,1.01427,0.983748,1.12993,-0.161621,-0.000530003,40.7758,1.09182,1.20086,1.02289,1
925,92314.3,-73397,-2272.28,0.841395,1.00998,1.00963,0.988603,1.06969,-0.176905,0.00219469,7.69016,0.799826,0.620872,0.941221,1
926,66082.1,-124749,147.32,0.695291,0.981701,1.00195,1.01952,1.02239,-0.205611,0.000964008,51.3275,1.16982,1.40806,1.0366,1
927,44228.5,-157501,14776.8,1.1526,1.00227,0.985299,0.990731,1.13566,-0.128423,-0.00291764,133.247,1.43434,2.87738,0.93725,1
928,87713.2,-24706.2,-17770.1,1.1569,1.01718,1.00559,1.0051,1.02365,0.0061141,5.09864e-05,5.08194,0.855716,0.578137,1.06337,1
929,93442.5,-15479.9,2504.32,0.928606,0.994868,1.00171,0.979609,1.06945,0.0355821,-0.000346601,4.86302,0.802109,0.579659,0.979804,1
930,85719.1,-23355.7,-2871.23,1.1973,1.02735,1.00244,0.967044,0.872747,0.00928585,0.000149339,3.35331,0.823893,0.537111,1.03342,1
931,93219.9,64583.9,-20020.5,1.1152,0.993716,0.980889,1.01289,1.00848,0.195367,-0.000180357,33.2338,1.01036,1.05391,0.975687,1
932,19354.1,-102953,22906.4,0.847839,0.996989,0.99999,0.992571,1.18294,-0.288162,-0.00202226,421.379,2.23492,8.0679,1.06982,1
933,86841.5,-48500.7,-372.874,0.883929,1.01387,0.994862,1.02838,1.13043,0.025921,-0.000637428,2.55914,0.69578,0.525482,0.821702,1
934,89656.7,-68433.7,16786,0.827751,1.01102,0.996211,0.984294,0.782404,-0.00636176,-0.000877883,6.753,0.851815,0.597124,1.04681,1
935,89510.4,3261.15,5985.84,1.05007,1.00159,0.995226,1.01229,0.969764,-0.0348721,0.00124561,8.90775,0.832222,0.638256,0.980259,1
936,50733.6,146587,-40826.5,0.90838,1.02119,1.00489,1.01195,1.08299,0.3304,0.000830338,270.477,2.27592,5.31756,1.02471,1
937,79972.9,-50129.2,10631.7,1.01938,0.959315,1.00502,0.962212,0.929187,-0.0938701,0.000438903,4.48347,0.76119,0.566092,0.894322,1
938,90823.2,-71147.2,19095.8,0.86425,1.01857,0.9935,1.01033,0.880384,-0.0604149,0.000808991,6.89904,0.78778,0.605145,0.92938,1
939,23.5049,-42.6717,-12.2469,0.979645,1.00506,0.99233,0.949169,1.09727,0.0511309,0.000592467,196.842,1.56931,4.58677,1.00855,1
940,15.518,31.5331,9.58704,1.41621,0.994411,1.01396,1.02795,0.82193,-0.0572341,-0.000626539,229.967,2.30153,5.40366,1.74051,1
941,97509.4,13360.3,-11771.2,0.351082,1.02715,0.999248,1.01263,1.15861,0.0964464,-0.0005088,3.02704,0.822163,0.545628,1.05197,1
942,65866,-130922,14538.9,1.34696,0.964544,0.988874,1.00472,0.881597,-0.159111,0.000541881,44.6562,1.07614,1.28546,0.959399,1
943,87358.2,96902.4,-17854.4,0.912026,1.0277,1.00242,1.03293,0.953579,0.18842,0.00070568,62.9898,1.28303,1.5956,1.05016,1
944,89124.8,-111315,-7738.09,0.581877,1.02078,1.01095,0.974248,0.911426,-0.105462,0.000101774,18.1114,0.890404,0.822563,0.942234,1
945,77048.8,-119706,10320.6,0.884899,1.00172,1.00659,1.02578,0.839901,-0.0946682,-0.000185713,18.5334,0.903428,0.823745,0.955855,1
946,90071.9,-76233.6,13935.3,0.940276,0.994189,0.997557,0.998857,0.691941,-0.110781,0.000829931,2.62827,0.761058,0.527045,0.941428,1
947,82960.7,72791,-17808.4,1.12338,0.986944,0.994483,1.00029,0.763257,0.161023,3.39785e-05,37.9302,1.03049,1.16378,0.936282,1
948,81303.2,-76023.8,-13470.1,1.13774,1.00478,0.994746,1.03771,1.19119,0.032602,-0.00161034,14.2918,0.917382,0.759519,1.02667,1
