run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
858,101620,39382.6,-17157.3,1.38907,1.03996,1.00162,1.00194,1.18746,0.178194,0.000752763,6.25091,0.825435,0.562689,1.05303,1
859,88471.4,18580.6,-16523.6,0.748174,1.00467,1.02148,1.02253,1.1755,0.121803,-0.000591889,4.55718,0.83099,0.541833,1.04946,1
860,88603.6,36662,-15185,1.26972,1.00612,1.0049,1.03735,0.881072,0.17133,-0.00105607,4.6613,0.728859,0.534198,0.876045,1
861,75345.8,-83454,8413.5,1.02853,0.968182,1.00714,1.03481,0.891142,-0.175961,0.000558661,5.87533,0.738363,0.575729,0.842681,1
862,95218,-112703,17346,1.22021,1.02435,0.991097,1.01759,0.752037,-0.241999,0.000331217,4.94533,0.861771,0.548655,1.11712,1
863,14.0906,27.0654,3.60867,1.15734,1.02131,0.991889,1.00159,0.842527,-0.186856,-0.00107261,99.893,1.18178,2.8054,0.891849,1
864,82319.6,-72013,7911.6,1.05614,0.993491,1.00795,1.04044,1.00088,-0.0798184,-0.000738774,4.35643,0.824014,0.556702,1.01171,1
865,91343.9,-80327.5,6843.8,0.776369,1.00716,1.00381,1.0168,0.890016,-0.106983,0.000442519,5.06532,0.770981,0.549557,0.943944,1
866,86504.2,32025,5621.97,0.976847,0.972077,0.99648,1.02009,0.993012,0.0965075,0.00117905,3.8603,0.783384,0.534445,0.967304,1
867,78700.1,-94319.7,29714,1.05986,1.00137,1.01517,1.01435,0.617899,-0.232464,4.99412e-05,7.82017,0.846568,0.612739,1.00367,1
868,101961,-10506.6,-2944.59,0.960657,1.03624,0.990775,0.960503,1.04415,0.0573145,6.5276e-05,3.44145,0.747827,0.548296,0.921002,1
